"idGame","slugTeam","lineup","lineupStint","numberPeriod","initialScoreTeam","initialScoreOpp","finalScoreTeam","finalScoreOpp","initialTime","finalTime","totalScoreTeam","totalScoreOpp","netScoreTeam","totalTime"
"22100003","CHA","Gordon Hayward, Kelly Oubre Jr., LaMelo Ball, Mason Plumlee, Miles Bridges",17,"3",59,75,80,84,1440,1846,21,9,12,406
"22100003","IND","Chris Duarte, Domantas Sabonis, Justin Holiday, Malcolm Brogdon, Myles Turner",17,"3",75,59,84,80,1440,1846,9,21,-12,406
"22100003","CHA","Cody Martin, Kelly Oubre Jr., LaMelo Ball, Mason Plumlee, Miles Bridges",18,"3",80,84,82,84,1846,1950,2,0,2,104
"22100003","IND","Domantas Sabonis, Justin Holiday, Malcolm Brogdon, Myles Turner, T.J. McConnell",18,"3",84,80,84,82,1846,1950,0,2,-2,104
"22100003","CHA","Cody Martin, Kelly Oubre Jr., Mason Plumlee, Miles Bridges, P.J. Washington",19,"3",82,84,82,84,1950,1950,0,0,0,0
"22100003","IND","Domantas Sabonis, Malcolm Brogdon, Myles Turner, T.J. McConnell, Torrey Craig",19,"3",84,82,86,87,1950,2031,2,5,-3,81
"22100003","CHA","Cody Martin, Ish Smith, Kelly Oubre Jr., Miles Bridges, P.J. Washington",20,"3",82,84,87,86,1950,2031,5,2,3,81
"22100003","IND","Domantas Sabonis, Justin Holiday, Myles Turner, T.J. McConnell, Torrey Craig",20,"3",86,87,86,87,2031,2031,0,0,0,0
"22100003","CHA","Cody Martin, Gordon Hayward, Ish Smith, Kelly Oubre Jr., P.J. Washington",21,"3",87,86,87,86,2031,2031,0,0,0,0
"22100003","IND","Domantas Sabonis, Jeremy Lamb, Justin Holiday, T.J. McConnell, Torrey Craig",21,"3",86,87,88,92,2031,2155,2,5,-3,124
"22100003","CHA","Cody Martin, Gordon Hayward, Ish Smith, Jalen McDaniels, P.J. Washington",22,"3",87,86,92,88,2031,2155,5,2,3,124
"22100003","IND","Chris Duarte, Jeremy Lamb, Justin Holiday, T.J. McConnell, Torrey Craig",22,"3",88,92,88,92,2155,2155,0,0,0,0
"22100003","CHA","Gordon Hayward, Ish Smith, Jalen McDaniels, LaMelo Ball, P.J. Washington",23,"3",92,88,92,88,2155,2160,0,0,0,5
"22100003","IND","Chris Duarte, Justin Holiday, Myles Turner, T.J. McConnell, Torrey Craig",23,"3",88,92,88,92,2155,2160,0,0,0,5
"22100003","CHA","Cody Martin, Gordon Hayward, Ish Smith, Miles Bridges, P.J. Washington",24,"4",92,88,98,94,2160,2281,6,6,0,121
"22100003","IND","Chris Duarte, Malcolm Brogdon, Myles Turner, T.J. McConnell, Torrey Craig",24,"4",88,92,94,100,2160,2346,6,8,-2,186
"22100003","CHA","Gordon Hayward, Ish Smith, Kelly Oubre Jr., Miles Bridges, P.J. Washington",25,"4",98,94,100,94,2281,2346,2,0,2,65
"22100003","IND","Chris Duarte, Domantas Sabonis, Malcolm Brogdon, T.J. McConnell, Torrey Craig",25,"4",94,100,96,102,2346,2397,2,2,0,51
"22100003","CHA","Cody Martin, Ish Smith, Kelly Oubre Jr., Miles Bridges, P.J. Washington",26,"4",100,94,100,94,2346,2346,0,0,0,0
"22100003","IND","Chris Duarte, Domantas Sabonis, Justin Holiday, Malcolm Brogdon, Torrey Craig",26,"4",96,102,96,102,2397,2397,0,0,0,0
"22100003","CHA","Cody Martin, Ish Smith, Kelly Oubre Jr., Mason Plumlee, Miles Bridges",27,"4",100,94,106,99,2346,2478,6,5,1,132
"22100003","IND","Chris Duarte, Domantas Sabonis, Jeremy Lamb, Justin Holiday, Malcolm Brogdon",27,"4",96,102,99,106,2397,2478,3,4,-1,81
"22100003","CHA","Cody Martin, Ish Smith, Kelly Oubre Jr., Mason Plumlee, P.J. Washington",28,"4",106,99,106,99,2478,2478,0,0,0,0
