game_date,game_id,team_home,team_away,period,clock,slug_team,player1,description,shot_pts
2021-11-26,22100289,UTA,NOP,1,11:35,NOP,Jonas Valanciunas,[NOP 2-0] Valanciunas Turnaround Hook Shot: Made (2 PTS) Assist: Hart (1 AST),2
2021-11-26,22100290,GSW,POR,1,11:43,POR,Jusuf Nurkic,[POR 2-0] Nurkic Driving Layup Shot: Made (2 PTS),2
2021-11-26,22100291,LAL,SAC,1,10:40,LAL,DeAndre Jordan,[LAL 2-0] Jordan Hook Shot: Made (2 PTS) Assist: James (1 AST),2
2021-11-27,22100292,PHI,MIN,1,11:18,MIN,Karl-Anthony Towns,[MIN 3-0] Towns 3pt Shot: Made (3 PTS) Assist: Vanderbilt (1 AST),3
2021-11-27,22100293,ATL,NYK,1,11:27,ATL,Clint Capela,[ATL 2-0] Capela Tip Layup Shot: Made (2 PTS),2
2021-11-27,22100294,BKN,PHX,1,11:27,PHX,Devin Booker,[PHX 2-0] Booker Driving Floating Jump Shot: Made (2 PTS),2
2021-11-27,22100295,CLE,ORL,1,11:16,ORL,Gary Harris,[ORL 3-0] Harris 3pt Shot: Made (3 PTS),3
2021-11-27,22100296,CHI,MIA,1,11:40,MIA,Kyle Lowry,[MIA 2-0] Lowry Driving Floating Jump Shot: Made (2 PTS) Assist: Adebayo (1 AST),2
2021-11-27,22100297,HOU,CHA,1,11:46,HOU,Christian Wood,[HOU 2-0] Wood Cutting Dunk Shot: Made (2 PTS) Assist: Porter Jr. (1 AST),2
2021-11-27,22100298,DAL,WAS,1,11:38,DAL,Willie Cauley-Stein,[DAL 2-0] Cauley-Stein Putback Layup Shot: Made (2 PTS),2
2021-11-27,22100299,UTA,NOP,1,11:46,NOP,Devonte' Graham,[NOP 2-0] Graham Jump Shot: Made (2 PTS),2
2021-11-28,22100300,LAC,GSW,1,11:35,LAC,Paul George,[LAC 2-0] George Cutting Layup Shot: Made (2 PTS) Assist: Jackson (1 AST),2
2021-11-28,22100301,IND,MIL,1,11:38,MIL,Giannis Antetokounmpo,[MIL 2-0] Antetokounmpo Turnaround Fadeaway shot: Made (2 PTS) Assist: Portis (1 AST),2
2021-11-28,22100302,TOR,BOS,1,11:39,BOS,Al Horford,[BOS 1-0] Horford Free Throw 1 of 2 (1 PTS),1
2021-11-28,22100303,MEM,SAC,1,11:46,MEM,Desmond Bane,[MEM 3-0] Bane 3pt Shot: Made (3 PTS) Assist: Adams (1 AST),3
2021-11-28,22100304,LAL,DET,1,10:57,LAL,Russell Westbrook,[LAL 1-0] Westbrook Free Throw 2 of 2 (1 PTS),1
2021-11-29,22100305,PHI,ORL,1,10:56,PHI,Joel Embiid,[PHI 2-0] Embiid Fadeaway Jump Shot: Made (2 PTS) Assist: Maxey (1 AST),2
2021-11-29,22100306,MIA,DEN,1,11:37,DEN,Nikola Jokic,[DEN 1-0] Jokic Free Throw 1 of 3 (1 PTS),1
2021-11-29,22100307,CHI,CHA,1,11:24,CHI,Nikola Vucevic,[CHI 2-0] Vucevic Jump Shot: Made (2 PTS) Assist: LaVine (1 AST),2
